id,"title","text","image","created_at","updated_at","link1","link2","link3",user_id,"link4"
1,"SIXPAD","SIXPAD（シックスパッド）」は世界最高峰の研究から導き出されたEMS理論、MTGの独自技術、世界NO.1フットボール選手クリスティアーノ・ロナウドのトレーニング理論から誕生した、革命的トレーニングギアです。","http://theoriginalwinger.com/wp-content/uploads/2015/07/sixpad-training-gear.png",NULL,NULL,"http://www.mtgec.jp/wellness/sixpad/?xadid=100761&gclid=CjwKEAjwpfC5BRCT1sKW2qzwqE0SJABkKFKRptzdM25NhxQF6EF0bwmljEyjT8GlbmJkan5lixg_IhoCySvw_wcB&trflg=1","http://www.amazon.co.jp/gp/product/B00ZWKZY4A/ref=as_li_ss_tl?ie=UTF8&camp=247&creative=7399&creativeASIN=B00ZWKZY4A&linkCode=as2&tag=urutoramanjun-22","#",NULL,NULL
2,"ワンダーコア","選べる3色！1セットたったの30秒。体を倒すだけで腹筋が鍛えられる腹筋マシーン「ワンダーコア」","http://interesting-koka.com/wp-content/uploads/2015/01/wanda2.png",NULL,NULL,"http://px.a8.net/svt/ejp?a8mat=2NKH9E+1GE9VE+3DYK+6CP0X",NULL,NULL,NULL,NULL
3,"ワンダーコアスマート","腹筋マシン・ワンダーコアのコンパクト版「ワンダーコアスマート」の商品情報です。クッション1枚分のサイズで手軽に自宅で腹筋トレーニング！","http://images.parco.jp/wordpress/images/urawa/4309/2015/05/wander_L.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"アブトロニックX2","過去販売台数170万台のアブトロ（アブトロニック）が進化して登場！アブトロニックX2のEMSは、1分間で400回以上の運動量に相当する腹筋ダイエットです。「アブトロニックX2（アブトロニックエックスツー）」で理想のボディメイクを！","http://ic4-a.dena.ne.jp/mi/gr/114/imgu-a.dena.ne.jp/exu3/cb/15/34988959/5/mb/223131045_1.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"スレンダートーン","脂肪やたるみが気になる体の部位を効果的に引き締め、体を動かさずに無理なくエクササイズできる【スレンダートーン】シリーズ。商品の特徴やラインナップ、お得なキャンペーン情報などをご紹介。全世界で販売台数700万台を突破！！","http://www.shopjapan.co.jp/content/shopjapan/pc/products/slendertone/sports/_jcr_content/par/column/col2/box/parbody/product.img.jpg/item_1_42991745.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"ジョーバ","「ジョーバ」は、乗るだけで無理なく筋力強化を行え、バランス改善ができるため、テレビを観ながらや仕事などの合間などのわずかな時間を利用し、 家庭にいながら乗馬療法の効果を得ることができる。 また、無理なく楽しくエクササイズを継続することによって、腰まわりの筋肉の衰えや姿勢の悪さといった、加齢によって起こる諸症状の予防・改善に役立つ。","http://ecx.images-amazon.com/images/I/41k05BMu6IL._AC_UL320_SR280,320_.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"超薄型軽量コードレスEMS【SPOPAD（スポパッド）】","腹筋だけでなく、腕やおしり、太ももなど幅広い部位にフィッ。
読書や家事をしながらや、仕事中や旅行先で。通勤などの移動中でも使用可能。
身に着けていても服の上から目立たないので、いつでもどこでもトレーニングできます。","http://pub.a8.net/a8v2/A8ImageAction.do?eid=s00000016329&id=201604181102180870","2016-05-19 02:03:51","2016-05-19 02:03:51","http://px.a8.net/svt/ejp?a8mat=2NKH9D+EC6Y4A+3HZU+64JTE","http://www.amazon.co.jp/gp/product/B001IHQODQ/ref=as_li_ss_tl?ie=UTF8&camp=247&creative=7399&creativeASIN=B001IHQODQ&linkCode=as2&tag=urutoramanjun-22","",1,NULL
